run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_token_aggregation_method,config_pretrained_checkpoint_path,config_use_brainiac_preprocessing,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_time_dim,config_dropout_rate,config_freeze_encoder,config_learned_sinusoidal_dim,config_depth,config_chpt_path,config_embed_dim,config_mlp_ratio,config_num_heads,config_attn_drop_rate,config_drop_path_rate,config_load_cls_token,config_num_reg_tokens,config_proj_drop_rate,config_drop_path_scale,config_patch_drop_rate,config_use_abs_pos_emb,config_use_rot_pos_emb,config_cls_token_available,config_pretraining_input_shape_mismatch,config_dinov2_model_name,config_slice_aggregation,config_hidden_dim,config_image_size,config_patch_size
7245191663.80408-e383bec9-a4ac,brainiac_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_06-53-42,finished,2025-08-10T06:54:01Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245191663.80408-e383bec9-a4ac,,06dea13e-3fa4-493e-afa8-161a2347f300,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,True,0.0,0.5295395851135254,0.5303910970687866,0.5,0.33076924085617065,0.8057649731636047,0.5438482761383057,0.5520361661911011,0.540132999420166,0.5345008373260498,0.6917163133621216,0.5089883804321289,0.5051122903823853,0.4971198141574859,0.4162978529930115,NaN,157881.0,1000.0,1754966718.310353,200.0,4.5691453082619125e-09,93200.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245191638.27864-5b43cfa5-4b61,brainiac_scratch_multi_t1w_t1wce_t2w_flair_2025-08-11_13-58-00,finished,2025-08-10T06:55:36Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245191638.27864-5b43cfa5-4b61,,6600fda6-4aff-47a8-95f9-d70a46e1c8a1,t-jiachentu,False,0,Classification,200.0,False,brainiac,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,cls_token,,True,0.0,0.5166999101638794,0.4836152195930481,0.498150110244751,0.43103447556495667,NaN,0.5369341969490051,0.52472984790802,0.5085603594779968,0.38831889629364014,0.6910455822944641,0.5162743330001831,0.48646312952041626,0.45794928073883057,0.45747125148773193,0.7019253373146057,268350.0,1621.0,1755077731.759949,200.0,4.5691453082619125e-09,93200.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245191004.75469-07882f3a-094f,brainmvp_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-04-45,finished,2025-08-10T07:05:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245191004.75469-07882f3a-094f,,2f4fce5b-8b3d-40f3-9388-e1593194e720,t-jiachentu,False,0,Classification,200.0,False,brainmvp,200.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,200.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.2,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,6e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,True,0.0,0.4980233907699585,0.4910147786140442,0.5,0.33076924085617065,0.7054529786109924,0.7361888289451599,0.7366700172424316,0.66102135181427,0.6606795787811279,0.6381855010986328,0.4752024114131927,0.4395161271095276,0.4772465229034424,0.43934112787246704,0.7423487305641174,34377.0,1000.0,1754843884.4950676,200.0,4.5691453082619125e-09,23400.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245190490.49431-b8fc31f0-d312,dinov2_frozen_multi_t1w_t1wce_t2w_flair_2025-08-10_07-07-27,crashed,2025-08-10T07:07:46Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245190490.49431-b8fc31f0-d312,,a5e3229e-43c6-4ee8-9cc2-8567953ddfc7,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245190465.76331-514b1c72-a3a3,dinov2_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-07-54,failed,2025-08-10T07:08:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245190465.76331-514b1c72-a3a3,,8179ad3b-51b9-42f1-b64d-3378f5eb140f,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189681.86604-0c8ec1b9-96f4,mri_core_frozen_multi_t1w_t1wce_t2w_flair_2025-08-10_07-21-18,crashed,2025-08-10T07:22:35Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245189681.86604-0c8ec1b9-96f4,,9cc04e3d-2caf-4a4d-a4ef-bafd888d236a,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189656.62423-5615d7ec-d167,mri_core_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-21-48,failed,2025-08-10T07:23:07Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245189656.62423-5615d7ec-d167,,e3cc5b5f-fefa-4d9a-a0aa-783473564a43,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7245189012.74149-067dc87f-3529,resenc_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-31-47,finished,2025-08-10T07:32:24Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245189012.74149-067dc87f-3529,,31fc24ca-f69e-4b3f-9443-bd238015a1d0,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,,0.2,0.5238627195358276,0.5206130743026733,0.5,0.33076924085617065,0.6946558356285095,0.6647258400917053,0.6790100336074829,0.6381291151046753,0.6379479169845581,0.6685788631439209,0.5413637161254883,0.5296658277511597,0.5564516186714172,0.5561342239379883,0.6957482695579529,41728.0,900.0,1754852871.185531,180.0,6.746583127731344e-09,10620.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245188621.18202-e480f23e-3b0a,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-38-43,finished,2025-08-10T07:39:13Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245188621.18202-e480f23e-3b0a,,a03d6814-2520-4182-8858-6f32024104cd,t-jiachentu,False,0,Classification,180.0,False,ResEncoder_Classifier,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.2,0.4445365667343139,0.40221989154815674,0.46141648292541504,0.449292927980423,0.8762885928153992,0.8309594392776489,0.8355526924133301,0.7606149911880493,0.760876476764679,0.5772779583930969,0.5734304785728455,0.5694124698638916,0.5270737409591675,0.5214923024177551,0.7486792206764221,35042.0,900.0,1754846595.5627174,180.0,6.746583127731344e-09,10620.0,,,,,,,,,,,,,,,,,,,,,,,,,
7245188143.50324-415992b7-a730,resenc_time_conditioned_pretrained_multi_t1w_t1wce_t2w_flair_2025-08-10_07-53-03,finished,2025-08-10T07:54:00Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7245188143.50324-415992b7-a730,,70485bb0-b850-4c5b-aeb6-924f041ccef9,t-jiachentu,False,0,Classification,180.0,False,ResEncTimeConditioned,180.0,False,1.0,multiclass,False,auto,False,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,180.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,7e-05,4.0,False,0.0,True,False,full,False,0.2,4.0,False,batchgenerators.get_training_transforms,60.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,cls_token,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/NoiseConditionedMDAETrainer_RandomMask_BS32_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,,0.5,0.5140063166618347,0.4867864549160004,0.5,0.33076924085617065,0.694236695766449,0.5170179605484009,0.5238618850708008,0.5,0.3445850908756256,0.6920594573020935,0.5339541435241699,0.5146889686584473,0.5,0.3444444537162781,0.6922972202301025,38361.0,900.0,1754850799.5869095,180.0,6.746583127731344e-09,21060.0,256.0,0.5,False,64.0,,,,,,,,,,,,,,,,,,,,,
