benchmark,modality,run_id,run_name,created_at,state,masking_ratio,noise_type,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,val_f1,train_auroc,train_loss,notes
brats18_lgg_vs_hgg,flair,7245530627.04835-2570b981-d132,resenc_MDAE_pretrained_flair_2025-08-06_08-41-40,2025-08-06T08:42:21Z,finished,80,Flow,0.43809521198272705,0.4688708186149597,0.4000000059604645,0.4523809552192688,0.725898265838623,0.4682539701461792,0.49886468052864075,0.409622460603714,0.998589038848877,0.35791486501693726,Masking Ratio Ablation: Flow 80% - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245530568.87896-8bb39683-2bf2,resenc_MDAE_pretrained_flair_2025-08-06_08-42-15,2025-08-06T08:42:53Z,finished,85,Flow,0.5015872716903687,0.5220330953598022,0.49590566754341125,0.5285714864730835,0.7250998020172119,0.5476190447807312,0.5963346362113953,0.5043478012084961,0.9975308179855348,0.3565000593662262,Masking Ratio Ablation: Flow 85% - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245530692.97279-0b4e144b-4278,resenc_MDAE_pretrained_flair_2025-08-06_08-43-45,2025-08-06T08:44:28Z,finished,75,Flow,0.541269838809967,0.5406491160392761,0.4348717927932739,0.4404761791229248,0.7229543328285217,0.5539681911468506,0.5777630805969238,0.5258589386940002,0.9982362985610962,0.35443341732025146,Masking Ratio Ablation: Flow 75% - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245530435.33876-ef7db1a6-eea2,resenc_MDAE_pretrained_flair_2025-08-06_08-44-25,2025-08-06T08:45:04Z,finished,95,Flow,0.4285714030265808,0.481857031583786,0.42809364199638367,0.44999998807907104,0.8323969841003418,0.4714285731315613,0.5502170920372009,0.37077924609184265,0.9966490268707277,0.3608832061290741,Masking Ratio Ablation: Flow 95% - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245530487.47155-f380783c-5cc6,resenc_MDAE_pretrained_flair_2025-08-06_09-20-55,2025-08-06T09:21:37Z,finished,90,Flow,0.5365079641342163,0.541961133480072,0.4631578922271729,0.49761903285980225,0.7638288140296936,0.4555555582046509,0.4988776743412018,0.4477113485336304,0.9973545074462892,0.3606334328651428,Masking Ratio Ablation: Flow 90% - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,t1ce,7245530653.92228-0ff953eb-5e4e,resenc_MDAE_pretrained_t1ce_2025-08-06_08-41-09,2025-08-06T08:41:49Z,finished,75,Flow,0.7746031284332275,0.7312531471252441,0.7120093107223511,0.7166666984558105,0.6326499581336975,0.6904761791229248,0.6395196914672852,0.6083182692527771,1.0,0.3407590091228485,Masking Ratio Ablation: Flow 75% - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245530594.45357-01528bbb-70d0,resenc_MDAE_pretrained_t1ce_2025-08-06_08-42-07,2025-08-06T08:42:51Z,finished,80,Flow,0.6166666746139526,0.6279276609420776,0.482560932636261,0.4952380955219269,0.8592402935028076,0.6904761791229248,0.6241461038589478,0.690777599811554,0.9955908060073853,0.3588544726371765,Masking Ratio Ablation: Flow 80% - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245530462.25208-8a593ae4-7bbc,resenc_MDAE_pretrained_t1ce_2025-08-06_08-44-00,2025-08-06T08:44:36Z,finished,90,Flow,0.8380951881408691,0.8449890613555908,0.5506367683410645,0.5666666626930237,0.5428871512413025,0.5714285373687744,0.5612749457359314,0.472222238779068,0.999118149280548,0.3502843677997589,Masking Ratio Ablation: Flow 90% - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245530409.24524-92e9ff06-7b28,resenc_MDAE_pretrained_t1ce_2025-08-06_08-44-54,2025-08-06T08:45:30Z,finished,95,Flow,0.6523809432983398,0.6147144436836243,0.5370281934738159,0.5404762029647827,0.782414972782135,0.6412698030471802,0.5946166515350342,0.552188515663147,0.9867724776268004,0.35753732919692993,Masking Ratio Ablation: Flow 95% - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245530518.72786-62a7bb33-44c1,resenc_MDAE_pretrained_t1ce_2025-08-06_09-20-52,2025-08-06T09:21:35Z,finished,85,Flow,0.7873015403747559,0.7622296810150146,0.7236841917037964,0.7690476179122925,0.6334914565086365,0.6095237731933594,0.5879051089286804,0.5258589386940002,0.9994709491729736,0.34777361154556274,Masking Ratio Ablation: Flow 85% - brats18 lgg_vs_hgg t1ce
