benchmark,modality,run_id,run_name,created_at,state,masking_type,masking_ratio,test_auroc,test_ap,test_f1,test_balanced_acc,test_loss,val_auroc,val_ap,train_auroc,train_loss,notes
brats18_lgg_vs_hgg,flair,7245531212.74643-41d2ac17-8022,resenc_MDAE_pretrained_flair_2025-08-06_08-32-28,2025-08-06T08:33:17Z,finished,Block,90,0.42539680004119873,0.49723806977272034,0.4183673560619354,0.488095223903656,0.6482691764831543,0.4317460060119629,0.4994093179702759,0.9885361194610596,0.3716806471347809,Masking Type Ablation: Standard blocky masking with 90% ratio - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245531083.55942-1344c73b-eb80,resenc_MDAE_pretrained_flair_2025-08-06_08-33-36,2025-08-06T08:34:15Z,finished,,90,0.4920634925365448,0.5312774181365967,0.42424243688583374,0.5,0.7159624695777893,0.43809524178504944,0.4869404435157776,0.9970017671585084,0.3649939298629761,Masking Type Ablation: Random voxel-wise masking with 90% ratio - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,flair,7245531138.47766-bd9dfddf-fad1,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_flair_2025-08-06_08-40-15,2025-08-06T08:40:49Z,finished,Random,90,0.4563491940498352,0.5111426115036011,0.4620224833488464,0.4714285731315613,0.7162932753562927,0.5873016119003296,0.5845800638198853,0.9991180896759032,0.3500981330871582,Masking Type Ablation: Random patch-based masking - brats18 lgg_vs_hgg flair
brats18_lgg_vs_hgg,t1ce,7245531111.49848-96bfe287-b1f2,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1ce_2025-08-06_08-33-25,2025-08-06T08:34:05Z,finished,Random,90,0.6571428775787354,0.6079479455947876,0.5777778029441833,0.5738095045089722,0.6856421828269958,0.6595238447189331,0.6223146915435791,1.0,0.3501010835170746,Masking Type Ablation: Random patch-based masking - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245531047.65256-801aa132-f24b,resenc_MDAE_pretrained_t1ce_2025-08-06_08-34-51,2025-08-06T08:35:31Z,finished,,90,0.7349206209182739,0.7108504176139832,0.7182022333145142,0.6976190209388733,0.5868868827819824,0.6642857193946838,0.6563605070114136,0.9998236894607544,0.34262967109680176,Masking Type Ablation: Random voxel-wise masking with 90% ratio - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1ce,7245531168.65214-3c466fc8-7c4e,resenc_MDAE_pretrained_t1ce_2025-08-06_08-38-05,2025-08-06T08:38:40Z,finished,Block,90,0.841269850730896,0.8148982524871826,0.35874998569488525,0.550000011920929,0.8842641115188599,0.5761904716491699,0.5621134638786316,0.9982362985610962,0.357033371925354,Masking Type Ablation: Standard blocky masking with 90% ratio - brats18 lgg_vs_hgg t1ce
brats18_lgg_vs_hgg,t1,7245531125.08850-327e8bba-b095,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1_2025-08-06_08-33-22,2025-08-06T08:34:02Z,finished,Random,90,0.6222221851348877,0.5900478363037109,0.42424243688583374,0.5,0.617438554763794,0.44285714626312256,0.49735724925994873,0.9994708895683287,0.3558896780014038,Masking Type Ablation: Random patch-based masking - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245531069.83874-28f0ceaa-3fea,resenc_MDAE_pretrained_t1_2025-08-06_08-34-02,2025-08-06T08:34:41Z,finished,,90,0.4277777671813965,0.4705653190612793,0.4367588758468628,0.46190476417541504,0.7731608748435974,0.6126984357833862,0.5834470987319946,0.9984126091003418,0.35701578855514526,Masking Type Ablation: Random voxel-wise masking with 90% ratio - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t1,7245531183.44696-d6784dfa-b08b,resenc_MDAE_pretrained_t1_2025-08-06_08-37-42,2025-08-06T08:38:15Z,finished,Block,90,0.5936508178710938,0.5579348206520081,0.4194444417953491,0.43809524178504944,0.6376076936721802,0.44603174924850464,0.5012378096580505,0.9970017671585084,0.35575976967811584,Masking Type Ablation: Standard blocky masking with 90% ratio - brats18 lgg_vs_hgg t1
brats18_lgg_vs_hgg,t2,7245531097.98323-90750b72-920b,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t2_2025-08-06_08-33-55,2025-08-06T08:34:41Z,finished,Random,90,0.6650793552398682,0.6193721890449524,0.6524389982223511,0.6595238447189331,0.7000026106834412,0.6698412895202637,0.6787099838256836,0.9929453134536744,0.3602219223976135,Masking Type Ablation: Random patch-based masking - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245531033.49995-989c4f26-9443,resenc_MDAE_pretrained_t2_2025-08-06_08-35-00,2025-08-06T08:35:39Z,finished,,90,0.6603174209594727,0.6157478094100952,0.5038402676582336,0.5190476179122925,0.6151872873306274,0.523809552192688,0.5512405633926392,0.995943546295166,0.365014523267746,Masking Type Ablation: Random voxel-wise masking with 90% ratio - brats18 lgg_vs_hgg t2
brats18_lgg_vs_hgg,t2,7245531153.03961-9c6f5dca-9f12,resenc_MDAE_pretrained_t2_2025-08-06_08-39-52,2025-08-06T08:40:26Z,finished,Block,90,0.6301586627960205,0.5889869928359985,0.5907692313194275,0.6214286088943481,0.8610799908638,0.5571428537368774,0.5704773664474487,0.988359808921814,0.3591446578502655,Masking Type Ablation: Standard blocky masking with 90% ratio - brats18 lgg_vs_hgg t2
