run_id,run_name,state,created_at,url,project,metric_epoch,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Val/Balanced_Accuracy,metric_Val/F1,config_model,config_learning_rate,config_batch_size,config_epochs,modality
7245993233.69942-72d6876f-f220,brainiac_pretrained_t1w_2025-08-01_00-11-31,finished,2025-08-01T00:11:59Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245993233.69942-72d6876f-f220,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5002642869949341,0.35555556416511536,0.5096592307090759,0.4880760908126831,0.4807027578353882,0.4611872434616089,brainiac,5e-05,4.0,100.0,T1w
7245993181.40047-2cbcb2a1-e715,brainiac_scratch_t1w_2025-08-01_00-12-33,finished,2025-08-01T00:13:04Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245993181.40047-2cbcb2a1-e715,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.466173380613327,0.3382936716079712,0.5508726835250854,0.5333136916160583,0.4907833933830261,0.4290957450866699,brainiac,5e-05,4.0,100.0,T1w
7245993062.47494-9a167d98-c855,mri_core_frozen_t1w_2025-08-01_00-14-19,finished,2025-08-01T00:15:26Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245993062.47494-9a167d98-c855,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.33076924085617065,0.49742358922958374,0.396819531917572,0.5,0.3444444537162781,MRICore,5e-05,4.0,100.0,T1w
7245992995.77415-f069bfe6-a2a5,brainmvp_pretrained_t1w_2025-08-01_00-16-20,finished,2025-08-01T00:16:51Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992995.77415-f069bfe6-a2a5,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.33076924085617065,0.52794349193573,0.4603017568588257,0.5,0.3444444537162781,brainmvp,5e-05,4.0,100.0,T1w
7245992939.39604-0d290b1f-6b06,resenc_multimodal_mm_mdae_pretrained_pretrained_t1w_2025-08-01_00-19-04,finished,2025-08-01T00:19:32Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992939.39604-0d290b1f-6b06,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.33076924085617065,0.5744667053222656,0.5742713212966919,0.47897467017173767,0.45116281509399414,ResEncoderMultiModal_Classifier,5e-05,4.0,100.0,T1w
7245993121.90267-14829a29-2ef0,mri_core_pretrained_t1w_2025-08-01_00-19-02,finished,2025-08-01T00:20:16Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245993121.90267-14829a29-2ef0,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.33076924085617065,0.4841998219490051,0.4214897155761719,0.5,0.3444444537162781,MRICore,5e-05,1.0,100.0,T1w
7245992822.80585-cc724b7c-fd52,resenc_pretrained_t1w_2025-08-01_02-15-57,finished,2025-08-01T00:22:17Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992822.80585-cc724b7c-fd52,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.33076924085617065,0.5045248866081238,0.35452574491500854,0.5,0.3444444537162781,ResEncoder_Classifier,5e-05,4.0,100.0,T1w
7245992886.97927-b4c61e82-7f64,resenc_time_conditioned_pretrained_t1w_2025-08-01_02-15-49,finished,2025-08-01T00:22:48Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992886.97927-b4c61e82-7f64,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,200.0,0.5,0.33076924085617065,0.585067868232727,0.5849940776824951,0.4611175060272217,0.42700502276420593,ResEncTimeConditioned,5e-05,4.0,200.0,T1w
7245992770.38149-8ebbf8b5-127e,dinov2_pretrained_t1w_2025-08-01_00-25-57,finished,2025-08-01T00:26:22Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992770.38149-8ebbf8b5-127e,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,100.0,0.5,0.3358778655529022,0.4783821105957031,0.4591331481933594,0.5,0.3444444537162781,dinov2,5e-05,1.0,50.0,T1w
7245992652.41155-7cf5d037-5a50,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_t1w_2025-08-01_00-27-28,finished,2025-08-01T00:28:14Z,https://microsoft-research.wandb.io/t-jiachentu/july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w/runs/7245992652.41155-7cf5d037-5a50,july_stratified_rsna_miccai_brain_tumor_mgmt_methylation_single_t1w,200.0,0.5,0.3358778655529022,0.6939791440963745,0.6930185556411743,0.46889400482177734,0.4647351503372192,ResEncoder_Classifier,5e-05,4.0,200.0,T1w
