Benchmark,Single_MDAE_AUROC,Multi_MDAE_AUROC,Improvement,Improvement_%,Multi_MAE_AUROC,Multi_SimCLR_AUROC,Multi_VoCo_AUROC,Multi_BrainMVP_AUROC
tcga_gbm_pfi_1year,0.7443608641624451,1.0,0.25563913583755493,34.34344121855467,1.0,1.0,1.0,0.6999999284744263
ucsf_pdgm_idh,0.8131868243217468,0.9297924041748048,0.11660557985305797,14.339334623420019,0.8492063283920288,0.8021978139877319,0.9157508611679076,0.8021978139877319
brats18_lgg_vs_hgg,0.841269850730896,0.92380952835083,0.08253967761993397,9.81132005957701,0.9007936716079712,0.879365086555481,0.8476190567016602,0.8523809909820557
upenn_gbm_survival_2year,0.6498227119445801,0.6755318641662598,0.025709152221679688,3.9563332812338334,0.5735815763473511,0.5817819237709045,0.4988918304443359,0.5664893388748169
brats23_men_vs_met,0.9648648500442504,0.9695945978164672,0.004729747772216797,0.4901979559106006,0.961486518383026,0.7587838172912598,0.7908783555030823,0.5317567586898804
brats23_gli_vs_men,0.9788440465927124,0.9769713878631592,-0.0018726587295532227,-0.19131328796163358,0.9619394540786744,0.9693795442581176,0.9985828399658204,0.8968518972396851
tcga_gbm_dss_1year,0.7597402334213257,0.75,-0.009740233421325684,-1.2820478622624276,1.0,1.0,0.625,0.0
brats23_gli_vs_met,0.972565531730652,0.94475656747818,-0.027808964252471924,-2.8593409230724722,0.6959737539291382,0.5174625515937805,0.8830056190490723,0.6456460952758789
upenn_gbm_gender,0.8702127933502197,0.8437689542770386,-0.026443839073181152,-3.0387784775463245,0.8395136594772339,0.8644376993179321,0.8635258674621582,0.5609422922134399
upenn_gbm_age_group,0.9178241491317748,0.8842592239379883,-0.03356492519378651,-3.657010466061238,0.8744213581085205,0.8602430820465088,0.8548900485038757,0.7850115895271301
upenn_gbm_idh1_status,0.6958762407302856,0.6418752670288086,-0.05400097370147705,-7.760140458999701,0.7304860353469849,0.7167403101921082,0.4879725277423858,0.6310751438140869
upenn_gbm_survival_1year,0.6465212106704712,0.5900648832321167,-0.05645632743835449,-8.732324091858763,0.5875589847564697,0.5704599022865295,0.5952240228652954,0.6472582817077637
upenn_gbm_survival_18month,0.6945797204971313,0.630314826965332,-0.06426489353179932,-9.252342335276218,0.5864979028701782,0.5555014610290527,0.6108406782150269,0.4384939968585968
rsna_miccai_mgmt,0.6434988975524902,0.5454545617103577,-0.09804433584213257,-15.23613112859064,0.542283296585083,0.5396405458450317,0.5729386806488037,0.5531183481216431
upenn_gbm_gtr_status,0.6089285612106323,0.5104166269302368,-0.09851193428039551,-16.177913232471877,0.608779788017273,0.5330357551574707,0.563095211982727,0.5345237851142883
