run_id,run_name,state,created_at,url,tags,group,user,config_lr,config_sam,config_fold,config_name,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_metrics,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_test_mode,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_input_shape,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_dropout_prob,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_pretrained_path,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_prepare_data_per_node,config_accumulate_grad_batches,config_metric_computation_mode,config_token_aggregation_method,config_classification_head_dropout,metric__runtime,metric__step,metric__timestamp,metric_lr-AdamW,metric_trainer/global_step,config_patch_size,config_in_channels,metric_epoch,metric_train_acc_epoch,metric_train_acc_step,metric_train_loss_epoch,metric_train_loss_step,metric_val_acc,metric_val_loss
h12iiblx,2025-07-13_04-56-03_mgmt_methylation,failed,2025-07-13T04:56:11Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/h12iiblx,,a4c012e8-fd53-4334-96af-2e4864ece271,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/brainmvp/BrainMVP_unet.pt,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,5.354047103,0,1752382575.8281891,0.0001,0,,,,,,,,,
ka2uv8q8,2025-07-13_05-00-53_mgmt_methylation,failed,2025-07-13T05:00:58Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/ka2uv8q8,,56d6f0b5-ad39-41b6-b5d3-d239b133ce74,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,5.5767055370000005,0,1752382863.1138237,0.0001,0,"[96, 96, 96]",1.0,,,,,,,
c6frmcfs,2025-07-13_05-04-49_mgmt_methylation,failed,2025-07-13T05:04:54Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/c6frmcfs,,e04ae4fc-1038-48aa-826f-86f84d0ca9b2,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,5.211954302,0,1752383098.519491,0.0001,0,"[96, 96, 96]",,,,,,,,
0iuahkou,2025-07-13_05-06-42_mgmt_methylation,failed,2025-07-13T05:06:47Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/0iuahkou,,b799550f-b82b-417e-9fa1-2cce124fe4cf,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,4.78546346,0,1752383211.0739222,0.0001,0,"[96, 96, 96]",,,,,,,,
gjgt6z3y,2025-07-13_05-08-30_mgmt_methylation,failed,2025-07-13T05:08:35Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/gjgt6z3y,,19be8767-af92-4c9f-bfa0-aa202f0b95cb,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,5.13458337,0,1752383319.1250355,0.0001,0,"[96, 96, 96]",,,,,,,,
pnguysk0,2025-07-13_05-10-21_mgmt_methylation,finished,2025-07-13T05:10:25Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/pnguysk0,,13faa05a-dbfc-4260-aff7-fc11099efc36,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,68.506464705,19,1752383493.1161938,3.52036587784401e-05,9,"[96, 96, 96]",,3.0,0.800000011920929,0.25,0.6790735125541687,0.9048981070518494,0.6666666865348816,0.6579210758209229
lwwrz2gr,2025-07-13_05-12-50_mgmt_methylation,finished,2025-07-13T05:12:55Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/lwwrz2gr,,83de229d-fd64-4ac9-8ad3-58a9fd63a757,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,105.823023839,29,1752383680.3182728,1.0453658778440104e-05,14,"[96, 96, 96]",,4.0,0.5,0.5,0.8057519793510437,0.9511902332305908,0.3333333432674408,1.2081271409988403
lcdnfymk,2025-07-13_05-13-48_mgmt_methylation,finished,2025-07-13T05:13:53Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/lcdnfymk,,6d3788f0-f6cc-43b3-bdaa-a430a4dedcb1,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,67.964384479,22,1752383700.055843,3.52036587784401e-05,11,"[96, 96, 96]",,3.0,0.800000011920929,0.0,0.6790735125541687,1.0624878406524658,0.6666666865348816,0.6626356244087219
ai33qbh0,2025-07-13_05-15-36_mgmt_methylation,failed,2025-07-13T05:15:40Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/ai33qbh0,,edbf4f9b-7170-4e55-bbb1-81a19328b1a8,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,False,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,4.69666144,0,1752383744.1294096,0.0001,0,"[96, 96, 96]",,,,,,,,
djwbvqm3,2025-07-13_05-24-30_mgmt_methylation,crashed,2025-07-13T05:24:34Z,https://microsoft-research.wandb.io/t-jiachentu/rsna_miccai_brain_tumor_mgmt_methylation_brainmvp_single_mod0/runs/djwbvqm3,,025b99cd-879a-4514-8800-835fc92f0aff,t-jiachentu,0.0001,False,0,UnetBrainMVPModel,Classification,5,False,UnetBrainMVPModel,5,False,1,"['f1', 'balanced_acc', 'ap', 'auroc']",multiclass,False,auto,False,,3,AdamW,16-mixed,CosineAnneal,True,20,4,False,5,True,True,0,gpu,"[160, 160, 160]",0.2,2,16,val,False,0.2,0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,1,False,0,True,False,full,False,0.2,/home/t-jiachentu/repos/BrainMVP/ckpts/BrainMVP_unet.pt,False,batchgenerators.get_training_transforms,1,False,False,mgmt_methylation,True,False,1,epochwise,cls_token,0,69.204006786,22,1752384343.0707505,3.52036587784401e-05,11,"[96, 96, 96]",,3.0,0.800000011920929,0.0,0.6790735125541687,1.0624878406524658,0.6666666865348816,0.6626356244087219
