run_id,run_name,state,created_at,url,tags,group,user,config_sam,config_fold,config_task,config_T_max,config_mixup,config_model,config_epochs,config_compile,config_devices,config_subtask,config_nesterov,config_strategy,config_benchmark,config_chpt_path,config_input_dim,config_optimizer,config_precision,config_scheduler,config_warmstart,config_batch_size,config_cifar_size,config_max_epochs,config_pretrained,config_save_preds,config_warmstart2,config_accelerator,config_mixup_alpha,config_num_classes,config_num_workers,config_result_plot,config_adaptive_sam,config_modality_idx,config_undecay_norm,config_weight_decay,config_data_root_dir,config_deterministic,config_learning_rate,config_input_channels,config_random_batches,config_resnet_dropout,config_sync_batchnorm,config_apply_shakedrop,config_finetune_method,config_freeze_backbone,config_label_smoothing,config_final_batch_size,config_stochastic_depth,config_train_transforms,config_log_every_n_steps,config_squeeze_excitation,config_zero_init_residual,config_classification_task,config_use_single_modality,config_auto_batch_size_mode,config_auto_batch_size_steps,config_prepare_data_per_node,config_accumulate_grad_batches,config_auto_batch_size_enabled,config_metric_computation_mode,config_classification_head_dropout,metric_Test/AP,metric_Test/AUROC,metric_Test/Balanced_Accuracy,metric_Test/F1,metric_Test/loss,metric_Train/AP,metric_Train/AUROC,metric_Train/Balanced_Accuracy,metric_Train/F1,metric_Train/loss,metric_Val/AP,metric_Val/AUROC,metric_Val/Balanced_Accuracy,metric_Val/F1,metric_Val/loss,metric__runtime,metric__step,metric__timestamp,metric_epoch,metric_lr-AdamW,metric_trainer/global_step,config_dropout_prob,config_pretrained_path,config_token_aggregation_method,config_use_brainiac_preprocessing,config_dinov2_model_name,config_slice_aggregation,config_image_size,config_depth,config_embed_dim,config_mlp_ratio,config_num_heads,config_hidden_dim,config_patch_size,config_freeze_encoder,config_pretrained_encoder_path,config_time_dim,config_dropout_rate,config_learned_sinusoidal_dim
7246597828.87518-03b07754-73f7,resenc_MDAETrainer_RandomMask_Flow_BS48_2000ep_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_00-15-42,finished,2025-07-25T00:16:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597828.87518-03b07754-73f7,,d9ddc434-f5bc-4b36-9580-ddaf51037b80,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.2,0.469928115606308,0.43736785650253296,0.5113636255264282,0.35555556416511536,0.7363705635070801,0.555097758769989,0.5451462268829346,0.528810441493988,0.5233640670776367,0.6910795569419861,0.5266106128692627,0.5098240375518799,0.49824047088623047,0.47343069314956665,0.6925539970397949,8166.0,500.0,1753410735.7678251,100.0,3.854818796385494e-08,5900.0,,,,,,,,,,,,,,,,,,
7246597842.09968-ef24fce2-88f9,resenc_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_00-15-45,finished,2025-07-25T00:16:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597842.09968-ef24fce2-88f9,,6922a2fb-e844-4e72-8355-59c73153ec53,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.2,0.6217064261436462,0.5858879089355469,0.5,0.33076924085617065,0.6938421130180359,0.5616939663887024,0.5617852210998535,0.5,0.3441011309623718,0.6915968060493469,0.4683143496513366,0.448387086391449,0.5,0.3463687002658844,0.6926424503326416,8187.0,500.0,1753410757.689172,100.0,3.854818796385494e-08,5900.0,,,,,,,,,,,,,,,,,,
7246597892.66022-5656bdb4-6b45,brainiac_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_00-18-44,finished,2025-07-25T00:19:05Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597892.66022-5656bdb4-6b45,,61620193-317e-4ebb-928d-258e9c681f77,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,5e-05,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.0,0.5482217669487,0.5169132947921753,0.5013213753700256,0.41665369272232056,0.7696537375450134,0.6039447784423828,0.6111876964569092,0.5760341882705688,0.5716865658760071,0.680310845375061,0.487614393234253,0.4643694758415222,0.5082111358642578,0.4439643919467926,1.0923980474472046,23754.0,500.0,1753426499.3290703,100.0,1.927409398192747e-08,46700.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainIAC/BrainIAC.ckpt,cls_token,True,,,,,,,,,,,,,,
7246597878.12988-e8407d96-7a10,brainiac_scratch_multi_t1w_t1wce_t2w_flair_2025-07-25_00-19-03,finished,2025-07-25T00:19:24Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597878.12988-e8407d96-7a10,,03299c94-4a0a-4f0c-b2a3-6df59a6ac517,t-jiachentu,False,0,Classification,100.0,False,brainiac,100.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,False,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.0,0.5013429522514343,0.4997357428073883,0.5,0.33076924085617065,0.6955134272575378,0.5485531687736511,0.5494668483734131,0.5223846435546875,0.41976749897003174,0.6904221773147583,0.4802022278308869,0.45513197779655457,0.5,0.3463687002658844,0.7076136469841003,23542.0,500.0,1753426305.1619658,100.0,3.854818796385494e-08,46700.0,0.2,,cls_token,True,,,,,,,,,,,,,,
7246597863.94625-d26a2ea7-7135,brainmvp_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_00-19-14,finished,2025-07-25T00:19:35Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597863.94625-d26a2ea7-7135,,d211e34c-84da-40ef-99c2-18ff71ae5e5a,t-jiachentu,False,0,Classification,100.0,False,brainmvp,100.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.0,0.5206441879272461,0.494450330734253,0.5,0.33076924085617065,0.6963974237442017,0.5910724401473999,0.5966905355453491,0.5707575082778931,0.5681580305099487,0.682399332523346,0.5719835758209229,0.5532258152961731,0.5065982341766357,0.5042372941970825,0.6892508864402771,6225.0,500.0,1753409000.5236263,100.0,3.854818796385494e-08,5900.0,0.2,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/pretrained_ckpts/BrainMVP/BrainMVP_unet.pt,cls_token,True,,,,,,,,,,,,,,
7246597814.20341-98b297ed-3457,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_00-19-22,finished,2025-07-25T00:19:39Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246597814.20341-98b297ed-3457,,5f8ad2df-b4a4-4f43-ae93-f699489aa41b,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.2,0.5142841935157776,0.5026427507400513,0.5414904952049255,0.5352563858032227,0.6971767544746399,0.590915322303772,0.5968284606933594,0.5800514817237854,0.579944908618927,0.6833264827728271,0.5618935227394104,0.5612903237342834,0.5145161151885986,0.5110447406768799,0.6861918568611145,7835.0,500.0,1753410614.7074668,100.0,3.854818796385494e-08,5900.0,,,,,,,,,,,,,,,,,,
7246593984.51226-a6485325-8d25,dinov2_frozen_multi_t1w_t1wce_t2w_flair_2025-07-25_01-19-54,finished,2025-07-25T01:20:11Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246593984.51226-a6485325-8d25,,d52caaf3-07cb-4e06-8872-5a45b2deb9ad,t-jiachentu,False,0,Classification,100.0,False,dinov2,50.0,False,1.0,multiclass,False,auto,False,,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.001,4.0,False,0.0,True,False,full,True,0.2,1.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,False,epochwise,0.5,0.5624428987503052,0.5232558250427246,0.5116279125213623,0.3611888289451599,0.7420493960380554,0.6551717519760132,0.6790218353271484,0.6307960748672485,0.6307960748672485,0.8813607096672058,0.5569891929626465,0.5384164452552795,0.5080645084381104,0.33751043677330017,1.084575891494751,28483.0,500.0,1753434895.315035,100.0,3.854818796385499e-07,46700.0,,,mean,True,facebook/dinov2-base,mean,,,,,,,,,,,,
7246580625.75601-1ad1ae9c-45fa,resenc_multimodal_mm_mdae_pretrained_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-25_05-03-34,finished,2025-07-25T05:04:03Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246580625.75601-1ad1ae9c-45fa,,e38a0f3d-4f9a-4644-838d-b0a6fb42bd27,t-jiachentu,False,0,Classification,100.0,False,ResEncoderMultiModal_Classifier,100.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/nnssl_data/nnssl_results/MDAE/Openmind/0705/Dataset005_OpenMind/BaseMDAETrainer_RandomMask_Flow_BS48_2000ep__nnsslPlans__onemmiso/fold_all/checkpoint_best.pth,3.0,AdamW,16-mixed,CosineAnneal,20.0,2.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.2,0.5142841935157776,0.5026427507400513,0.5414904952049255,0.5352563858032227,0.6971767544746399,0.590915322303772,0.5968284606933594,0.5800514817237854,0.579944908618927,0.6833264827728271,0.5618935227394104,0.5612903237342834,0.5145161151885986,0.5110447406768799,0.6861918568611145,11479.0,500.0,1753431322.5816405,100.0,3.854818796385494e-08,5900.0,,,,,,,,,,,,,,,,,,
7246579851.75371-205931d8-0a74,resenc_pretrained_multi_t1w_t1wce_t2w_flair_2025-07-26_05-47-42,finished,2025-07-26T03:36:37Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246579851.75371-205931d8-0a74,,a90537ef-af3e-421a-a553-39e5ba1f9487,t-jiachentu,False,0,Classification,100.0,False,ResEncoder_Classifier,100.0,False,1.0,multiclass,False,auto,False,/mnt/hanoverlimitedwus2/mri/scratch/t-jiachentu/pretrained_ckpts/ResEncL-OpenMind-MAE/checkpoint_final.pth,3.0,AdamW,16-mixed,CosineAnneal,20.0,1.0,False,100.0,True,True,0.0,gpu,0.2,2.0,16.0,val,False,0.0,False,0.01,/mnt/hanoverlimitedwus2/scratch/t-jiachentu/nnssl_data/nnssl_preprocessed/Dataset020_RSNA_MICCAI_BrainTumor,False,0.0001,4.0,False,0.0,True,False,full,False,0.2,8.0,False,batchgenerators.get_training_transforms,10.0,False,False,mgmt_methylation,False,power,3.0,False,1.0,True,epochwise,0.2,0.6217064261436462,0.5858879089355469,0.5,0.33076924085617065,0.6938421130180359,0.5616939663887024,0.5617852210998535,0.5,0.3441011309623718,0.6915968060493469,0.4683143496513366,0.448387086391449,0.5,0.3463687002658844,0.6926424503326416,12306.0,686.0,1753517282.9687798,100.0,3.854818796385494e-08,5900.0,,,,,,,,,,,,,,,,,,
7246476383.47299-e99f81a9-5785,mri_core_frozen_multi_t1w_t1wce_t2w_flair_2025-07-26_10-04-47,crashed,2025-07-26T10:05:10Z,https://microsoft-research.wandb.io/t-jiachentu/stratified_rsna_miccai_brain_tumor_mgmt_methylation_multi_t1w_t1wce_t2w_flair/runs/7246476383.47299-e99f81a9-5785,,a1a142d8-701a-4218-9715-4276c9ec2d16,t-jiachentu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
